stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
119,109,5.432696818999999,2,1,224,62.0,68.0,102.0,40.0,40.0045848799531,57.0,156.0,0.3456333949353472,-2.4417422570096248,-0.11371457177934342,-3.650284946839382,-7.751507587571183e-05
49,48,1.482838869,3,1,108,119.0,224.0,109.0,-10.0,-9.999999999999828,-70.0,-116.0,0.4568934960173233,-2.759202574469943,-0.03228842564339899,2.2341526349401137,-0.00011815376957466893
146,146,5.582537889,4,1,153,49.0,108.0,48.0,-1.0,-1.0,-49.0,45.0,-0.793117257605244,-2.8281501875631725,0.05548126873154262,-0.549885087615167,-0.00016111100653094437
22,23,12.36618996,5,1,257,146.0,153.0,146.0,0.0,4.481562619425948e-31,22.0,104.0,0.2714204024098406,-2.8722535413868826,0.2349290342245862,1.6436779233548857,-0.00020726386215241192
106,110,3.351524115,6,1,157,22.0,257.0,23.0,1.0,1.0,-62.0,-100.0,2.8717257785225994,-3.5128575380470215,0.3832150845122154,-3.648049304743979,-0.00025758343765914523
3,119,1.1330029959999999,7,1,243,106.0,157.0,110.0,4.0,3.9976518366910287,43.0,86.0,,-3.766389772323341,,,-0.00031316442454435204
95,113,4.500772953,8,1,323,3.0,243.0,119.0,-30.0,-29.998655786248904,-54.0,80.0,,-3.8383386539843993,,,-0.00037525902215134247
139,131,1.8507149219999999,9,1,354,95.0,323.0,113.0,18.0,18.0,44.0,31.0,,-3.6125006289217296,,,-0.00044531640430236087
84,101,6.850288152999999,10,1,214,139.0,354.0,131.0,-8.0,-8.0,-55.0,-140.0,,-3.66379986802901,,,-0.0005250291219865901
67,85,5.349924803,11,1,189,84.0,214.0,101.0,17.0,17.0,-17.0,-25.0,,-3.861783426399482,,,-0.0006163880630051038
137,130,5.583666325,12,1,225,67.0,189.0,85.0,18.0,18.0,70.0,36.0,,-3.53150283276513,,,-0.0007217478706969921
51,49,5.516360044,13,1,226,137.0,225.0,130.0,-7.0,-7.0,60.0,1.0,,-3.710752287986781,,,-0.0008439050570199842
104,107,2.317382813,14,1,177,51.0,226.0,49.0,-2.0,-2.0,53.0,-49.0,,-4.189469993256546,,,-0.000986191434569246
45,33,2.799952984,15,1,247,104.0,177.0,107.0,3.0,3.0,-59.0,70.0,,-4.299165118976196,,,-0.0011525859408775634
133,63,3.5670638080000003,16,1,83,45.0,247.0,33.0,-12.0,-12.0,-58.0,-164.0,,-4.274152841314081,,,-0.0013478484380402508
125,110,2.466732979,18,1,176,37.0,102.0,31.0,-6.0,-6.0025151251860684,-58.0,74.0,,-4.274152841314081,,,-0.001577679639884322
145,18,2.30009985,19,1,99,125.0,176.0,110.0,-15.0,-15.0,20.0,-77.0,,-4.274152841314081,,,-0.0018489119415856052
6,9,1.866473913,20,1,65,145.0,99.0,18.0,19.0,19.000000000000107,7.0,-34.0,,-4.434087485778217,,,-0.002169736590332842
80,13,2.4333460330000003,21,1,67,6.0,65.0,9.0,3.0,5.003692001815043,-72.0,2.0,,-4.415121289270749,,,-0.002549973318737176
20,14,2.332956076,23,1,165,41.0,193.0,38.0,-3.0,-3.0,-21.0,-28.0,,-4.374619691726996,,,-0.003001389231254401
92,23,1.667222023,24,1,102,20.0,165.0,14.0,-6.0,-6.000000000000038,72.0,-63.0,,-4.3866984926080175,,,-0.0035380743377679477
19,20,3.250237942,26,1,51,109.0,107.0,109.0,0.0,-0.0002229290377817149,56.0,-56.0,,-4.593225791455054,,,-0.004176881596712317
132,123,1.600375175,27,1,274,19.0,51.0,20.0,1.0,0.998994212618086,-33.0,-137.0,,-4.06460209620165,,,-0.004937939565763392
131,118,3.383770943,28,1,346,132.0,274.0,123.0,-9.0,-8.999774445183938,-1.0,72.0,,-4.169160357704476,,,-0.005845245632698174
86,104,2.633285761,29,1,58,131.0,346.0,118.0,-13.0,-12.32763056954581,-45.0,72.0,,-4.411964718102688,,,-0.006927347146910992
7,134,1.499515057,30,1,313,86.0,58.0,104.0,18.0,18.00234643704035,67.0,-105.0,,-4.13715108834975,,,-0.008218116385512932
83,117,3.0828630919999997,31,1,312,7.0,313.0,134.0,-19.0,-19.00569852863588,-70.0,-1.0,,-3.5729381277089,,,-0.009757622913551079
74,98,0.9498929979999999,32,1,144,83.0,312.0,117.0,34.0,34.00000000000024,-9.0,-168.0,,-4.0752510416156,,,-0.011593103235925863
128,98,1.2161891459999998,33,1,95,74.0,144.0,98.0,24.0,23.999999999999993,54.0,-49.0,,-3.0971220515803437,,,-0.013780022346681374
65,82,2.600019932,34,1,99,128.0,95.0,98.0,-30.0,-14.99999999999969,-63.0,4.0,,-3.098989783341504,,,-0.016383214484758123
29,44,2.666809082,35,1,33,65.0,99.0,82.0,17.0,17.000000000000174,-36.0,-66.0,,-3.163088035540407,,,-0.01947808071625516
2,4,7.1821749210000005,36,1,213,29.0,33.0,44.0,15.0,15.0,-27.0,-180.0,,-2.0225005247712615,,,-0.023151808512067672
124,119,2.400269985,37,1,10,2.0,213.0,4.0,2.0,1.9989954129052416,-24.0,157.0,,-2.083000837770408,,,-0.0275045629705668
141,145,2.183628082,38,1,285,124.0,10.0,119.0,-5.0,-5.0,17.0,-85.0,,-1.8542562103940543,,,-0.032650580568388404
31,34,2.283092976,39,1,60,141.0,285.0,145.0,4.0,4.000000000000106,36.0,135.0,,-1.7430008197901987,,,-0.03871907433658866
113,100,4.884015083,40,1,225,31.0,60.0,34.0,3.0,3.0001667747274303,-64.0,165.0,,-1.2054906188272305,,,-0.04585483448932015
5,144,3.6831767560000004,41,1,188,113.0,225.0,100.0,-13.0,-12.999999999999861,38.0,-37.0,,-1.0297480223844533,,,-0.05421838153356464
38,36,1.333711147,42,1,203,5.0,188.0,144.0,-7.0,-5.500003770343155,33.0,15.0,,-1.0683804141024054,,,-0.06398550106025326
